filename,psnr,ssim,lpips
r_0.png,34.34600576939951,0.9834964871406555,0.03878636285662651
r_1.png,33.95395874953745,0.9825438857078552,0.0415569432079792
r_10.png,26.163956357499917,0.9575824737548828,0.10359321534633636
r_100.png,62.54434332471489,0.9997475147247314,0.0015068466309458017
r_101.png,45.62410142879046,0.999051570892334,0.005730319768190384
r_102.png,34.73612862992973,0.9966719746589661,0.0246241744607687
r_103.png,31.32289408125597,0.9963631629943848,0.038216762244701385
r_104.png,52.08437054966035,0.9991905093193054,0.005443943664431572
r_105.png,57.059482053863874,0.9995762705802917,0.0016058649634942412
r_106.png,33.549389712813344,0.9917739033699036,0.03339153155684471
r_107.png,28.693039118461876,0.9717430472373962,0.10321030020713806
r_108.png,23.431432539647474,0.9509755969047546,0.14217369258403778
r_109.png,21.29388825660024,0.9296870827674866,0.1442861109972
r_11.png,25.0486060046222,0.9487074017524719,0.1323399543762207
r_110.png,35.61257916216452,0.9891235828399658,0.05456981807947159
r_111.png,20.473157977645783,0.9057114124298096,0.182786762714386
r_112.png,61.085634883041244,0.9996466636657715,0.0018194911535829306
r_113.png,61.09046136847276,0.999647319316864,0.0019576121121644974
r_114.png,35.33215495291189,0.998296320438385,0.019054053351283073
r_115.png,27.459220838135103,0.9941927790641785,0.05832260102033615
r_116.png,30.46254199254665,0.9786556363105774,0.11125719547271729
r_117.png,53.04177719323099,0.9991844296455383,0.0069609773345291615
r_118.png,53.2333939802365,0.9992408156394958,0.0055777644738554955
r_119.png,51.80958587391635,0.9988892674446106,0.009471236728131771
r_12.png,23.893813362259518,0.9468583464622498,0.1221502497792244
r_120.png,41.21132870606573,0.9986339211463928,0.01568582095205784
r_121.png,19.930697469489097,0.9810070991516113,0.146811380982399
r_122.png,28.69409343565384,0.9936860203742981,0.05576033145189285
r_123.png,38.328704577652154,0.9918349385261536,0.03187628462910652
r_124.png,26.10969489698247,0.964820921421051,0.05081223323941231
r_125.png,22.45284818384126,0.9544755816459656,0.1004210114479065
r_126.png,27.689113426455158,0.9612200260162354,0.06060823053121567
r_127.png,23.054930177093865,0.9538659453392029,0.05566197633743286
r_128.png,26.47463261906777,0.9648472666740417,0.03472135215997696
r_129.png,23.622369865775646,0.9340229034423828,0.12744329869747162
r_13.png,22.745950876062754,0.9433260560035706,0.11382879316806793
r_130.png,31.422724310969592,0.9784829616546631,0.08506655693054199
r_131.png,44.4455567486105,0.9965038299560547,0.027584901079535484
r_132.png,48.102194415959865,0.9990914463996887,0.0062285978347063065
r_133.png,40.0965438510991,0.9990568161010742,0.009998449124395847
r_134.png,50.30283547482619,0.9997923970222473,0.0018936708802357316
r_135.png,40.44102341301061,0.9928420186042786,0.03771419823169708
r_136.png,28.5280390639217,0.9468500018119812,0.10004900395870209
r_137.png,25.288322718621266,0.9493111968040466,0.05317565053701401
r_138.png,23.23596675922815,0.9342026710510254,0.08508037775754929
r_139.png,18.53431231558471,0.8595695495605469,0.2161329984664917
r_14.png,21.056126097749853,0.94070965051651,0.10805131494998932
r_140.png,21.832765554424366,0.9285420775413513,0.10968969017267227
r_141.png,23.972723026212325,0.9338509440422058,0.09083791822195053
r_142.png,17.79977875273292,0.8833505511283875,0.1555487960577011
r_143.png,19.68827831830239,0.8984711170196533,0.1371588557958603
r_144.png,30.17606580624221,0.9498109221458435,0.10390374809503555
r_145.png,30.807407620291865,0.9586419463157654,0.16058388352394104
r_146.png,25.03999689048422,0.9133006930351257,0.23084919154644012
r_147.png,38.89210865406466,0.9928556084632874,0.050917595624923706
r_148.png,23.32502331373149,0.9004737734794617,0.2229936122894287
r_149.png,34.48043333998553,0.9669210910797119,0.12585705518722534
r_15.png,20.641176306952108,0.9421036839485168,0.08834618330001831
r_150.png,25.5744500301496,0.9077780842781067,0.2311163991689682
r_151.png,29.008305118425035,0.9444878697395325,0.1684938669204712
r_152.png,33.06335931751899,0.9778177738189697,0.09075051546096802
r_153.png,30.728442206772407,0.9750409722328186,0.06494127959012985
r_154.png,31.497193853806596,0.9771646857261658,0.05777796730399132
r_155.png,28.2354148616257,0.9556973576545715,0.11759837716817856
r_156.png,26.804299263018407,0.9282546043395996,0.1685064136981964
r_157.png,22.640853459779642,0.8956047892570496,0.2017671763896942
r_158.png,17.140057192030646,0.8430982232093811,0.22991877794265747
r_159.png,16.973237448703024,0.8546889424324036,0.20857849717140198
r_16.png,20.399893832009255,0.9409676194190979,0.08942225575447083
r_160.png,17.998669318784504,0.8903456330299377,0.17735229432582855
r_161.png,17.437693501599792,0.8534976840019226,0.22635674476623535
r_162.png,15.424832319631028,0.8193203806877136,0.22424271702766418
r_163.png,19.657259171144407,0.9138748645782471,0.11677155643701553
r_164.png,20.0281697383122,0.9160013198852539,0.10895973443984985
r_165.png,20.491787601109923,0.9192683100700378,0.11464044451713562
r_166.png,21.524126069060014,0.9094240069389343,0.15887832641601562
r_167.png,22.096034751009043,0.9108352661132812,0.17012199759483337
r_168.png,21.79132973595721,0.8928785920143127,0.18284885585308075
r_169.png,21.73906208491324,0.8966756463050842,0.17667999863624573
r_17.png,20.750125295793246,0.9415891170501709,0.09376506507396698
r_170.png,21.97882147979174,0.8949649930000305,0.17765437066555023
r_171.png,19.646467065549857,0.8745130896568298,0.24228885769844055
r_172.png,19.485762677865022,0.8638651371002197,0.2623940110206604
r_173.png,18.73919137580876,0.8627747893333435,0.23913522064685822
r_174.png,19.345761649466535,0.8693091869354248,0.2331831306219101
r_175.png,20.032195940126623,0.870967447757721,0.2149450033903122
r_176.png,19.838028826240834,0.8637008666992188,0.1903599351644516
r_177.png,18.363295613170195,0.8483495712280273,0.24726863205432892
r_178.png,18.27163139433741,0.8569387793540955,0.2429897040128708
r_179.png,18.284847891289424,0.87547367811203,0.23082613945007324
r_18.png,21.533552825256066,0.9454799294471741,0.08803506940603256
r_180.png,18.38391627015077,0.8845221996307373,0.2308337688446045
r_181.png,19.323747696873813,0.8952426910400391,0.21225178241729736
r_182.png,20.009235311987833,0.8999350666999817,0.1956913322210312
r_183.png,20.71125250890011,0.900750458240509,0.1798321157693863
r_184.png,22.861190070589412,0.9129257202148438,0.1521427482366562
r_185.png,23.24945975197067,0.9088640809059143,0.17513734102249146
r_186.png,22.692565594105695,0.8989092707633972,0.18397407233715057
r_187.png,23.076660071895134,0.9115266799926758,0.1733430176973343
r_188.png,24.039295161029813,0.920412540435791,0.1394519805908203
r_189.png,23.2728704394463,0.9200089573860168,0.13855062425136566
r_19.png,20.705544646628745,0.9303925037384033,0.1323811113834381
r_190.png,22.701045348351016,0.9295695424079895,0.10665518045425415
r_191.png,23.735899903924373,0.9375267624855042,0.09762705862522125
r_192.png,20.291169795466537,0.9028674960136414,0.13465800881385803
r_193.png,20.398412019763988,0.9048911929130554,0.12732738256454468
r_194.png,23.544131320165818,0.9423801302909851,0.0993257537484169
r_195.png,29.894257402556956,0.9667353630065918,0.061874523758888245
r_196.png,33.61612222492232,0.9747903347015381,0.047371651977300644
r_197.png,34.59334573139171,0.977208137512207,0.04268013685941696
r_198.png,35.25253727249627,0.9787395000457764,0.045266687870025635
r_199.png,35.14689447505306,0.9790692329406738,0.04986682906746864
r_2.png,30.621785383601683,0.9788432121276855,0.04645729064941406
r_20.png,20.50643352171462,0.8943703174591064,0.15647801756858826
r_21.png,24.69189874456866,0.9104933738708496,0.14777407050132751
r_22.png,25.378840357810187,0.9331066012382507,0.13893824815750122
r_23.png,23.316296024753598,0.9207072854042053,0.1781042367219925
r_24.png,21.589397351960294,0.8930535316467285,0.2019510418176651
r_25.png,22.750251495733444,0.8931964039802551,0.1360682249069214
r_26.png,22.789416507229035,0.9102104306221008,0.1271715760231018
r_27.png,20.732016720032238,0.9078676104545593,0.16951793432235718
r_28.png,19.805092787180353,0.9073142409324646,0.17646513879299164
r_29.png,18.70969714539003,0.8879497051239014,0.18447166681289673
r_3.png,30.378634553422728,0.9767241477966309,0.0532408244907856
r_30.png,18.174551470315293,0.8679463267326355,0.1692899763584137
r_31.png,19.468403271584588,0.8774962425231934,0.18609575927257538
r_32.png,18.733001644602282,0.8780069947242737,0.175768181681633
r_33.png,18.975099862302482,0.8977189660072327,0.16517463326454163
r_34.png,18.340976495864524,0.8844861388206482,0.18388275802135468
r_35.png,19.28286885105409,0.8908452391624451,0.17938420176506042
r_36.png,20.224241429425916,0.9046536087989807,0.13257449865341187
r_37.png,20.37492235710689,0.9090564250946045,0.10727125406265259
